"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"4013","ENSG00000210107",1.82252595137606,3.46921701181707,42.8417268126881,2.2765369297337e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56499452473403e-05
"4019","ENSG00000210151",1.30165284038273,3.70874673803446,29.9666842291983,3.8552807058009e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000753938694826423
